0.00000000,0.08701292
0.06283186,0.13447452
0.12566371,0.18193612
0.18849556,0.22939770
0.25132743,0.26103875
0.31415927,0.34805170
0.37699112,0.37178248
0.43982297,0.45088515
0.50265485,0.49043646
0.56548667,0.53789806
0.62831855,0.60909045
0.69115037,0.63282126
0.75398225,0.71983415
0.81681406,0.73565471
0.87964594,0.78311628
0.94247782,0.80684710
1.00530970,0.84639841
1.06814146,0.88594973
1.13097334,0.91759080
1.19380522,0.95714211
1.25663710,0.98878318
1.31946886,0.98087293
1.38230073,0.98878318
1.44513261,0.98878318
1.50796449,0.98878318
1.57079637,0.99669349
1.63362813,0.99669349
1.69646001,0.99669349
1.75929189,0.98878318
1.82212377,0.98087293
1.88495564,0.98087293
1.94778740,0.96505243
2.01061940,0.96505243
2.07345104,0.93341136
2.13628292,0.88594973
2.19911480,0.87012923
2.26194668,0.83848816
2.32477856,0.77520603
2.38761044,0.74356496
2.45044231,0.66446233
2.51327419,0.64073151
2.57610607,0.54580832
2.63893771,0.51416725
2.70176959,0.43506461
2.76460147,0.37969273
2.82743335,0.32432088
2.89026523,0.26103875
2.95309711,0.20566690
3.01592898,0.15029505
3.07876086,0.09492318
3.14159274,0.03955133
3.20442462,-0.02373080
3.26725626,-0.08701292
3.33008814,-0.14238478
3.39292002,-0.20566690
3.45575190,-0.23730797
3.51858377,-0.33223116
3.58141565,-0.37969273
3.64424753,-0.44297487
3.70707941,-0.48252621
3.76991129,-0.53789806
3.83274293,-0.59326994
3.89557481,-0.62491101
3.95840669,-0.65655202
4.02123880,-0.77520603
4.08407068,-0.80684710
4.14690208,-0.86221898
4.20973396,-0.86221898
4.27256584,-0.90968055
4.33539772,-0.90968055
4.39822960,-0.93341136
4.46106148,-0.94923186
4.52389336,-0.98878318
4.58672523,-0.98087293
4.64955711,-0.98878318
4.71238899,-0.98878318
4.77522087,-1.02042425
4.83805275,-0.99669349
4.90088463,-0.98878318
4.96371651,-0.97296268
5.02654839,-0.94923186
5.08938026,-0.93341136
5.15221214,-0.91759080
5.21504402,-0.88594973
5.27787542,-0.83848816
5.34070730,-0.77520603
5.40353918,-0.75938547
5.46637106,-0.69610339
5.52920294,-0.67237258
5.59203482,-0.58535963
5.65486670,-0.51416725
5.71769857,-0.40342355
5.78053045,-0.42715433
5.84336233,-0.34014142
5.90619421,-0.36387223
5.96902609,-0.20566690
6.03185797,-0.22939770
6.09468985,-0.15029505
6.15752172,-0.15029505
6.22035360,-0.11074372
6.28318548,-0.11074372
